                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW                Rain    Heat    Cool    In     In    In     In    Temp   Temp    Hum    Hum  Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index   Bar    Rain  Rate    D-D     D-D    Temp   Hum    Dew   Heat    2nd    3rd    2nd    3rd  Samp   Tx   Recept  Int.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
28/05/24 12:30a   -4.0   -3.3   -4.1    92   -5.1   3.2   WSW   1.61   8.0   WSW   -4.9   -4.1   -5.0  1000.9  0.00   0.0   0.465   0.000   18.8    21   -4.0   16.1    ---    ---    ---    ---   682    1     99.7   30 
28/05/24  1:00a   -4.1   -3.9   -4.3    92   -5.2   1.6   WSW   0.80   4.8   WSW   -4.1   -4.1   -4.1  1000.5  0.00   0.0   0.466   0.000   18.8    21   -4.0   16.0    ---    ---    ---    ---   681    1     99.6   30 
28/05/24  1:30a   -4.2   -3.9   -4.2    91   -5.4   3.2   WSW   1.61   8.0   WSW   -5.2   -4.2   -5.2  1000.3  0.00   0.0   0.469   0.000   18.8    21   -4.0   16.0    ---    ---    ---    ---   678    1     99.1   30 
28/05/24  2:00a   -4.0   -3.7   -4.4    91   -5.3   3.2   WSW   1.61   8.0   WSW   -4.9   -4.1   -5.0  1000.3  0.00   0.0   0.465   0.000   18.7    21   -4.1   15.9    ---    ---    ---    ---   670    1     98.0   30 
28/05/24  2:30a   -4.2   -4.0   -4.2    91   -5.5   0.0   WSW   0.00   3.2   WSW   -4.2   -4.3   -4.3  1000.3  0.00   0.0   0.470   0.000   18.6    20   -4.9   15.8    ---    ---    ---    ---   675    1     98.7   30 
28/05/24  3:00a   -5.1   -4.2   -5.3    91   -6.3   3.2   WSW   1.61   8.0   WSW   -6.1   -5.1   -6.2   999.9  0.00   0.0   0.487   0.000   18.6    20   -4.9   15.8    ---    ---    ---    ---   682    1     99.7   30 
28/05/24  3:30a   -4.8   -4.7   -5.2    91   -6.1   1.6   WSW   0.80   4.8   WSW   -4.8   -4.9   -4.9   999.7  0.00   0.0   0.483   0.000   18.5    20   -4.9   15.7    ---    ---    ---    ---   683    1     99.9   30 
28/05/24  4:00a   -4.7   -4.7   -5.0    91   -6.0   1.6   WSW   0.80   6.4   WSW   -4.7   -4.8   -4.8   999.3  0.00   0.0   0.480   0.000   18.5    20   -4.9   15.7    ---    ---    ---    ---   681    1     99.6   30 
28/05/24  4:30a   -5.8   -4.7   -5.8    90   -7.2   1.6   WSW   0.80   6.4   WSW   -5.8   -5.8   -5.8   999.4  0.00   0.0   0.502   0.000   18.4    19   -5.7   15.6    ---    ---    ---    ---   675    1     98.7   30 
28/05/24  5:00a   -5.6   -5.3   -5.8    91   -6.8   1.6   WSW   0.80   6.4   WSW   -5.6   -5.7   -5.7   998.9  0.00   0.0   0.499   0.000   18.3    19   -5.8   15.4    ---    ---    ---    ---   666    1     97.4   30 
28/05/24  5:30a   -5.9   -5.6   -6.1    90   -7.3   1.6   WSW   0.80   6.4   WSW   -5.9   -6.0   -6.0   999.0  0.00   0.0   0.506   0.000   18.3    19   -5.8   15.4    ---    ---    ---    ---   679    1     99.3   30 
28/05/24  6:00a   -6.1   -5.9   -6.2    90   -7.4   1.6   WSW   0.80   4.8   WSW   -6.1   -6.1   -6.1   998.9  0.00   0.0   0.508   0.000   18.2    19   -5.8   15.4    ---    ---    ---    ---   667    1     97.5   30 
28/05/24  6:30a   -6.6   -5.9   -6.7    90   -7.9   1.6   WSW   0.80   4.8   WSW   -6.6   -6.6   -6.6   998.9  0.00   0.0   0.519   0.000   18.2    19   -5.8   15.4    ---    ---    ---    ---   683    1     99.9   30 
28/05/24  7:00a   -6.6   -6.4   -6.8    90   -7.9   1.6   WSW   0.80   4.8   WSW   -6.6   -6.6   -6.6   998.9  0.00   0.0   0.519   0.000   18.1    18   -6.6   15.2    ---    ---    ---    ---   666    1     97.4   30 
28/05/24  7:30a   -6.9   -6.6   -7.1    90   -8.3   1.6   WSW   0.80   4.8   WSW   -6.9   -7.0   -7.0   998.9  0.00   0.0   0.527   0.000   17.9    18   -6.8   15.1    ---    ---    ---    ---   675    1     98.7   30 
28/05/24  8:00a   -7.0   -6.9   -7.2    89   -8.5   1.6   WSW   0.80   3.2   WSW   -7.0   -7.1   -7.1   999.0  0.00   0.0   0.528   0.000   17.9    18   -6.8   15.1    ---    ---    ---    ---   668    1     97.7   30 
